Label,ENERGY STAR Unique ID,Brand Name,Model Name,Total Volume (cu. ft.),Daily Energy Consumption at -80ºC (kWh/day),Daily Energy Consumption at -70ºC (kWh/day),Depth (in),Height,Width,Surface Area (sq. in.),Average Energy Consumption(kWh/year)
PHCbi | 3995411,3995411.0,PHCbi,MDF-DU503VHA-PA,18.5,5.43,4.33,39.75,78.38,34.0,1351.5,1981.95
PHCbi | 3995413,3995413.0,PHCbi,MDF-DU503VH-PA,18.5,5.43,4.33,39.75,78.38,34.0,1351.5,1981.95
PHCbi | 3995406,3995406.0,PHCbi,MDF-DU500ZHA-PA,18.6,6.84,5.44,39.75,78.38,37.88,1505.73,2496.6
PHCbi | 3995409,3995409.0,PHCbi,MDF-DU502VH-PA,18.75,7.14,5.56,35.0,78.56,31.25,1093.75,2606.1
PHCbi | 3995410,3995410.0,PHCbi,MDF-DU502VHA-PA,18.78,7.56,6.2,36.5,78.5,31.13,1136.24,2759.4
Thermo Scientific | 3891787,3891787.0,Thermo Scientific,TSX40086FA,19.31,8.71,5.78,37.25,78.0,32.5,1210.62,3179.15
Thermo Scientific | 3891788,3891788.0,Thermo Scientific,TSX40086LA,19.31,8.71,5.78,37.25,78.0,32.5,1210.62,3179.15
Fisher-Isotemp | 3891789,3891789.0,Fisher-Isotemp,ISO40086GA,19.31,8.71,5.78,37.25,78.0,32.5,1210.62,3179.15
VWR-Premium Series ULT | 3891790,3891790.0,VWR-Premium Series ULT,77618-762,19.31,8.71,5.78,37.25,78.0,32.5,1210.62,3179.15
Thermo Scientific | 3891791,3891791.0,Thermo Scientific,TSX40086CA,19.31,8.71,5.78,37.25,78.0,32.5,1210.62,3179.15
Fisher-Isotemp | 3891792,3891792.0,Fisher-Isotemp,ISO40086GD,19.31,8.71,5.78,37.25,78.0,32.5,1210.62,3179.15
Fisher-Isotemp | 3891793,3891793.0,Fisher-Isotemp,ISO40086GV,19.31,8.71,5.78,37.25,78.0,32.5,1210.62,3179.15
VWR-Premium Series ULT | 3891794,3891794.0,VWR-Premium Series ULT,77618-766,19.31,8.71,5.78,37.25,78.0,32.5,1210.62,3179.15
VWR-Premium Series ULT | 3891795,3891795.0,VWR-Premium Series ULT,471-1355,19.31,8.71,5.78,37.25,78.0,32.5,1210.62,3179.15
Midea | 4481433,4481433.0,Midea,MD-86L580BS,19.93,8.37,5.49,39.17,77.95,34.84,1364.68,3055.05
Haier | 3998983,3998983.0,Haier,DW-86L578BPS,20.52,6.63,4.72,39.29,77.95,35.24,1384.58,2419.95
Haier | 3998984,3998984.0,Haier,DW-86L578BPST,20.52,6.63,4.72,39.29,77.95,35.24,1384.58,2419.95
Haier | 4480557,4480557.0,Haier,DW-86L580BPT,20.52,4.93,3.43,39.29,77.56,35.24,1384.58,1799.45
Haier | 4480559,4480559.0,Haier,DW-86L580BP,20.52,4.93,3.43,39.29,77.56,35.24,1384.58,1799.45
Haier | 4510223,4510223.0,Haier,DW-86L579BP,20.52,8.27,5.42,39.29,77.95,35.24,1384.58,3018.55
Haier | 4510224,4510224.0,Haier,DW-86L579BPT,20.52,8.27,5.42,39.29,77.95,35.24,1384.58,3018.55
Nuaire | 4514270,4514270.0,Nuaire,NU-99579VFT,20.52,8.27,5.42,39.29,77.95,35.24,1384.58,3018.55
Thermo Scientific | 3891751,3891751.0,Thermo Scientific,TSX50086FA,24.09,9.06,5.98,37.25,78.0,38.0,1415.5,3306.9
Thermo Scientific | 3891752,3891752.0,Thermo Scientific,TSX50086LA,24.09,9.06,5.98,37.25,78.0,38.0,1415.5,3306.9
Fisher-Isotemp | 3891753,3891753.0,Fisher-Isotemp,ISO50086GA,24.09,9.06,5.98,37.25,78.0,38.0,1415.5,3306.9
VWR-Premium Series ULT | 3891754,3891754.0,VWR-Premium Series ULT,77618-774,24.09,9.06,5.98,37.25,78.0,38.0,1415.5,3306.9
Thermo Scientific | 3891755,3891755.0,Thermo Scientific,TSX50086CA,24.09,9.06,5.98,37.25,78.0,38.0,1415.5,3306.9
Fisher-Isotemp | 3891756,3891756.0,Fisher-Isotemp,ISO50086GD,24.09,9.06,5.98,37.25,78.0,38.0,1415.5,3306.9
Fisher-Isotemp | 3891757,3891757.0,Fisher-Isotemp,ISO50086GV,24.09,9.06,5.98,37.25,78.0,38.0,1415.5,3306.9
VWR-Premium Series ULT | 3891758,3891758.0,VWR-Premium Series ULT,77618-778,24.09,9.06,5.98,37.25,78.0,38.0,1415.5,3306.9
VWR-Premium Series ULT | 3891759,3891759.0,VWR-Premium Series ULT,471-1356,24.09,9.06,5.98,37.25,78.0,38.0,1415.5,3306.9
